step,scope,parent_section,section,level,mpi_avg_sec,mpi_max_sec,mpi_min_sec,thread_avg_sec,thread_max_sec,thread_min_sec,uniform_particle_count,ave_particle_count,var_particle_count,cov_particle_count
0,ensemble_generate_particles,root,ensemble_generate_particles_total,0,13.9059922,13.909319,13.885589,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,set_parameter_path,1,0.450011031,2.401314,0.000511,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,read_parameter_file,1,1.95220984,2.403886,0.001688,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,init_transfer_functions,1,0.00049934375,0.000513,0.000492,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,create_cells,1,0.00051821875,0.000592,0.000132,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,sampling_prepare,1,3e-06,1.8e-05,1e-06,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_uniform_sampling,1,0.361640875,0.365342,0.353919,0.218913648,0.363179,0.129218,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_thread_setup,2,0,0,1.79769313e+308,0.000143153646,0.000541,1.8e-05,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_cell_index_setup,2,0,0,1.79769313e+308,0.000102046875,0.000136,7.1e-05,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_bind_cell_array,2,0,0,1.79769313e+308,0.0156110677,0.016422,0.015169,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_volume_calculation,2,0,0,1.79769313e+308,0.0169752188,0.022702,0.016428,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_count_calculation,2,0,0,1.79769313e+308,0.00315259635,0.003309,0.003029,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_sampling_loop,2,0,0,1.79769313e+308,0.0909027318,0.092789,0.085711,51791094,559070,637139,927029
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_local_coord_generation,3,0,0,1.79769313e+308,0.00620068229,0.007023,0.005953,51791094,559070,637139,927029
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_flush_prepare,3,0,0,1.79769313e+308,0.00915619531,0.009992,0.008841,51791094,559070,637139,927029
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_calculate_scalars_array,3,0,0,1.79769313e+308,0.0514207161,0.053494,0.049822,51791094,559070,637139,927029
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_store_particle_data,3,0,0,1.79769313e+308,0.0175778906,0.019582,0.013659,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_uniform_sampling,thread_particle_merge,2,0,0,1.79769313e+308,0.0911223359,0.235388,0.002742,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,mpi_shift_exchange,1,0.720191406,0.728668,0.712806,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_size_exchange,2,0.00496990625,0.013469,0.000136,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_alloc_recv_buffer,2,0.118224156,0.124007,0.111987,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_payload_all,2,0.160230875,0.168154,0.150864,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,mpi_shift_exchange,omp_shift_interpolation,2,0.436565812,0.439027,0.434442,0.436398281,0.438915,0.434246,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_shift_interpolation,shift_calculate_scalars_array,3,0,0,1.79769313e+308,0.352847417,0.356666,0.350828,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_average_variance,1,0.0148646563,0.015504,0.014393,0,0,1.79769313e+308,51791094,559070,637139,927029
